app_code,os_version,is_4G,hour,day_of_week
143,1,1,14,1
365,0,1,18,0
191,2,0,11,4
44,1,1,11,2
195,1,0,9,2
88,1,1,21,4
429,0,1,23,1
214,1,1,13,0
216,1,1,11,4
365,1,0,12,5
397,1,0,22,0
265,1,1,17,2
365,1,0,3,2
107,1,0,19,4
88,2,0,10,5
283,1,0,18,1
126,2,0,14,6
283,0,0,14,4
143,1,0,0,0
397,2,0,19,1
27,2,1,17,3
107,1,0,15,2
253,1,0,11,0
267,2,0,18,3
143,1,0,15,0
279,0,1,18,2
137,1,1,1,2
363,0,0,7,6
283,1,0,12,6
143,1,0,18,2
283,1,1,12,6
107,0,0,11,3
115,2,0,2,1
195,1,1,21,0
29,0,0,20,5
267,0,0,18,0
107,1,0,15,3
107,1,0,20,4
283,0,1,10,1
107,2,1,10,5
285,2,0,15,4
27,1,1,16,2
143,1,0,18,1
191,0,0,0,6
107,0,0,21,1
27,1,1,16,4
397,1,1,21,3
366,2,1,3,2
253,0,1,16,4
88,0,1,17,3
283,1,1,0,4
143,1,0,21,4
267,1,0,4,0
139,1,0,2,4
45,0,1,19,5
137,1,0,10,1
195,2,1,17,6
397,1,0,19,1
27,2,1,20,1
137,1,1,21,6
283,1,1,14,3
27,0,1,17,4
115,2,0,21,0
137,1,1,23,0
191,1,0,0,5
27,1,0,12,1
283,1,0,17,0
137,1,1,2,6
336,2,0,8,3
45,0,0,9,6
143,2,0,11,4
282,1,0,8,1
283,1,0,20,0
191,2,0,3,3
361,1,1,0,4
265,1,1,18,4
283,1,1,23,5
214,1,0,16,1
267,1,1,2,1
29,1,0,9,3
29,1,0,21,4
283,1,0,22,2
195,1,1,20,0
283,1,1,14,1
407,1,0,6,0
283,1,0,23,6
27,0,1,18,3
107,1,0,10,4
139,1,0,21,3
191,0,0,1,3
267,1,0,22,0
267,1,0,10,2
27,0,0,23,6
88,1,1,16,3
29,2,0,0,6
336,0,1,14,3
49,2,0,14,6
407,0,0,21,6
283,1,0,20,6
215,1,1,0,6
267,0,1,12,3
283,1,0,13,0
27,1,1,22,5
253,1,0,8,4
88,0,1,2,4
283,1,0,11,0
287,1,1,15,1
143,1,0,16,2
107,0,1,12,3
359,1,0,14,0
283,1,0,19,2
283,1,1,14,3
283,1,0,16,4
107,0,0,12,3
107,1,0,12,4
29,1,0,0,6
102,1,0,15,1
283,1,1,23,6
283,1,1,12,0
177,2,0,0,1
137,2,0,9,0
107,2,0,8,2
265,1,0,16,2
283,1,1,22,2
126,0,0,18,5
107,1,0,8,2
216,0,1,19,4
107,1,0,10,4
283,1,1,23,6
267,1,1,0,6
397,0,0,9,4
283,2,1,22,3
267,1,0,23,1
407,0,0,1,1
283,1,0,18,6
283,0,0,19,1
27,2,0,22,0
267,0,1,6,3
49,1,1,19,1
76,1,0,14,1
139,1,1,21,5
283,1,0,22,6
287,0,0,17,3
107,2,0,20,5
107,1,0,9,3
268,0,0,12,6
89,2,1,17,1
107,1,0,11,1
88,2,0,12,2
361,1,1,23,1
283,1,1,20,5
283,1,0,23,2
107,1,0,12,0
139,2,0,1,1
282,0,0,3,0
191,0,0,9,3
143,1,0,8,3
283,1,0,13,3
253,1,1,16,4
88,1,0,6,1
214,1,1,17,2
283,1,0,0,4
365,0,0,21,2
429,1,1,1,2
228,2,0,12,0
143,0,0,11,2
336,1,1,16,0
305,1,0,17,1
107,2,0,11,4
107,0,0,8,1
365,1,0,14,1
397,0,0,19,4
45,2,0,19,0
45,2,0,16,4
283,1,0,11,1
397,0,1,22,0
151,2,0,0,4
283,1,0,0,1
143,1,0,1,1
253,0,1,10,0
283,0,0,17,3
267,0,0,18,6
265,1,0,17,4
107,0,0,9,5
370,2,0,14,4
283,0,0,9,5
336,1,1,13,6
143,0,0,23,2
107,1,1,0,2
29,0,0,23,4
88,1,1,3,0
177,1,0,17,1
139,0,0,12,4
29,0,0,16,3
148,1,0,21,1
107,1,0,10,3
365,0,0,16,2
253,1,1,13,4
29,0,0,0,0
268,0,0,5,0
88,1,0,23,4
283,2,0,23,0
336,1,0,13,1
267,0,1,1,6
287,1,1,14,1
397,0,1,22,5
107,2,0,2,0
359,0,0,0,1
365,0,0,12,0
191,1,0,0,3
265,2,0,15,3
365,0,0,15,3
283,1,0,2,4
409,0,0,21,2
29,1,0,0,2
216,0,0,20,6
49,0,0,6,3
216,2,0,20,4
88,2,0,18,4
107,2,0,11,0
206,2,1,19,2
143,1,0,12,5
27,2,0,12,1
107,1,1,18,2
214,0,1,17,2
88,1,0,0,1
265,2,0,21,2
216,1,1,22,2
107,1,0,21,2
107,1,1,15,6
88,2,0,18,3
257,1,0,1,4
88,0,0,5,3
397,1,0,20,1
45,1,0,13,4
282,1,0,22,1
177,2,0,13,4
407,0,0,22,2
27,0,0,19,5
88,1,0,0,0
283,2,1,23,4
102,1,0,16,4
107,1,0,19,2
363,1,0,12,2
195,2,0,15,1
145,0,0,18,4
282,1,1,1,2
380,1,0,2,5
283,1,0,12,5
107,2,1,16,1
48,1,1,2,1
107,2,0,10,4
107,2,0,23,1
267,1,1,1,5
282,2,0,12,2
29,0,1,12,1
278,2,0,11,2
88,2,0,15,3
143,1,0,14,5
216,1,0,17,6
107,0,1,10,5
283,1,1,23,0
88,1,0,15,3
267,1,0,10,5
27,2,0,22,4
139,0,1,17,3
283,2,0,13,6
139,2,1,23,5
148,0,0,20,4
88,2,0,22,4
115,2,1,11,0
386,0,0,14,6
451,1,0,16,0
283,0,1,20,2
29,1,1,0,2
68,2,0,11,5
307,2,0,20,1
191,1,1,20,3
111,1,0,21,0
267,1,1,12,3
345,0,0,2,5
216,0,0,18,0
283,1,1,17,6
107,2,0,19,6
107,0,1,2,2
88,1,0,15,1
216,0,0,7,1
363,1,0,19,6
195,1,1,23,4
282,1,0,23,3
365,0,1,6,2
107,0,0,21,3
107,1,1,8,5
459,1,1,9,3
283,0,0,20,3
337,2,0,0,6
359,1,1,10,1
29,1,0,17,0
191,1,1,13,1
283,1,0,18,5
267,1,1,0,1
137,1,1,0,2
267,1,0,23,2
283,1,0,0,4
283,1,0,16,2
267,2,1,17,2
177,1,1,14,4
27,1,1,19,1
107,0,0,9,2
139,0,0,3,1
283,1,0,15,4
143,1,0,0,5
88,2,0,12,0
365,2,0,21,1
283,1,0,22,5
27,0,0,18,4
48,2,0,0,4
169,0,0,10,1
143,0,1,22,3
283,1,1,22,1
64,1,0,14,6
279,1,1,19,5
267,2,1,19,2
216,2,1,7,2
143,0,0,23,5
48,0,0,6,6
195,1,1,19,5
107,1,0,11,4
191,1,1,19,6
283,1,0,21,6
143,2,0,15,6
49,0,1,20,5
107,1,0,22,6
287,0,1,20,0
253,2,1,18,0
107,1,0,13,0
195,2,1,0,0
283,1,0,11,3
88,0,0,23,5
361,1,0,0,1
139,2,0,11,1
177,1,0,2,0
88,1,0,2,0
267,2,1,6,5
88,2,0,23,3
139,1,1,10,3
27,1,0,21,1
257,1,0,1,3
115,1,0,11,3
107,2,1,21,0
88,0,0,15,0
283,0,0,0,4
107,2,0,10,4
49,2,1,22,6
283,1,1,12,3
365,0,0,2,4
65,2,1,0,6
143,2,1,8,5
107,2,1,17,3
177,1,1,10,4
138,2,0,12,3
283,1,1,13,0
276,2,1,18,3
195,1,1,13,1
365,0,1,17,4
45,2,0,8,6
397,0,1,20,4
107,0,0,14,2
107,1,1,13,6
191,1,1,19,2
177,1,1,16,3
283,2,0,20,6
88,0,0,1,1
420,2,0,23,6
267,1,1,0,6
48,2,0,12,5
191,1,0,10,3
268,0,0,17,3
397,1,0,19,1
336,1,0,23,0
282,1,1,11,5
143,1,0,19,3
283,1,0,15,5
283,1,1,17,0
27,1,1,18,3
282,2,0,11,5
283,1,0,15,3
107,1,0,21,1
265,2,0,16,4
107,0,0,10,3
365,2,0,8,0
363,1,1,0,0
139,0,0,22,0
282,1,1,0,3
283,1,0,15,3
365,1,0,19,4
276,2,0,1,5
283,1,1,10,1
191,2,0,11,3
283,0,0,19,0
107,0,0,15,6
107,0,0,15,6
427,1,0,18,6
312,0,0,0,1
287,1,0,10,2
107,1,0,22,6
458,2,0,9,4
191,2,1,15,1
191,0,1,20,5
283,1,1,20,5
139,0,0,19,1
282,2,0,0,1
107,1,0,13,5
336,0,0,13,4
139,1,0,20,4
143,1,0,1,0
88,2,0,19,3
365,1,0,0,1
107,1,0,15,6
195,1,1,11,3
283,1,0,20,4
365,0,1,13,0
107,1,0,10,4
27,1,0,4,1
214,2,0,18,4
359,2,1,15,2
88,1,0,0,3
406,1,1,19,2
191,0,0,13,2
397,1,1,21,3
27,1,0,13,6
107,2,0,12,6
365,0,0,21,5
45,0,0,15,1
107,1,1,19,2
283,1,1,19,2
88,0,0,16,2
139,0,1,23,3
282,2,1,16,0
88,0,0,14,2
27,1,0,11,2
107,0,0,11,3
27,1,0,13,5
88,0,1,15,0
177,1,0,20,6
283,1,0,22,2
88,1,0,23,2
265,1,1,15,2
283,1,1,23,2
143,2,0,17,4
282,2,0,0,2
143,1,0,0,4
307,1,1,12,1
365,1,0,17,1
283,1,0,0,6
126,1,1,14,0
26,1,0,12,0
191,1,1,16,5
191,2,0,14,0
283,1,0,21,6
107,1,0,14,1
361,1,1,18,3
115,0,0,21,0
365,1,1,0,4
370,1,1,16,0
282,1,0,0,5
451,1,1,19,0
88,1,0,11,5
195,2,1,17,2
191,1,1,11,3
48,1,0,14,6
214,1,1,15,0
137,1,1,22,5
216,1,0,17,0
29,1,0,0,2
139,1,0,21,3
267,1,1,21,3
27,1,0,17,0
287,2,0,9,1
107,1,1,10,4
107,2,0,21,5
107,2,0,23,0
283,1,1,13,5
397,0,0,21,2
283,1,0,11,3
191,2,0,16,4
283,1,0,20,5
111,1,1,0,0
228,1,0,20,4
249,2,0,0,4
107,1,1,18,6
137,1,0,13,4
267,1,0,23,1
267,1,0,23,4
397,1,1,21,6
137,2,0,0,5
359,2,0,23,0
307,2,1,6,3
49,1,1,22,5
403,1,0,20,6
27,0,1,18,0
107,0,0,7,5
107,0,1,12,2
107,1,1,18,0
107,1,0,8,1
107,1,1,18,1
148,1,0,1,1
397,2,0,20,1
195,1,1,13,5
44,1,1,10,1
27,2,0,17,6
102,1,0,16,5
88,0,0,21,2
191,1,0,22,6
102,1,0,21,6
44,1,0,18,3
361,1,0,23,3
88,2,0,17,5
389,1,1,0,6
253,1,0,0,1
336,2,1,11,1
429,1,0,0,4
289,1,1,20,2
107,1,0,7,3
45,1,1,23,3
287,2,0,12,1
191,0,1,20,1
107,1,1,10,2
107,1,0,17,4
139,0,0,2,3
22,0,0,1,1
29,0,0,13,5
88,2,0,3,2
216,1,1,2,0
283,0,0,10,1
107,0,0,16,0
115,2,0,23,3
45,2,0,7,1
27,0,0,4,2
107,1,0,8,4
177,0,0,14,0
107,1,0,8,4
139,1,1,22,2
145,2,0,0,0
107,0,0,9,2
44,1,0,21,6
29,0,0,23,5
282,1,0,16,2
191,1,0,11,3
107,2,1,16,2
283,0,0,12,1
27,1,0,1,2
451,1,1,7,4
88,1,1,22,3
365,1,0,13,4
145,2,0,8,5
249,1,1,15,3
88,2,0,21,4
107,1,0,16,3
283,1,0,1,3
107,1,0,7,2
29,1,0,23,4
216,1,1,19,4
420,1,0,10,1
283,1,0,19,1
64,2,0,16,2
191,2,0,17,2
407,1,1,12,2
29,1,0,12,4
107,0,0,21,5
283,1,0,12,5
336,1,1,7,1
282,2,0,15,6
